epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,90.8107,0.98858,0.86628,1.22802,0.99093,1,0.995,0.79126,0.77735,0.77231,0.99141,0.000755,0.000755,0.000755
22,95.272,0.90222,0.8332,1.19347,0.987,1,0.995,0.79559,0.82817,0.78958,1.02336,0.00073025,0.00073025,0.00073025
23,99.9608,0.83753,0.7875,1.1508,0.98681,1,0.995,0.78984,0.87998,0.80646,1.05414,0.0007055,0.0007055,0.0007055
24,104.532,0.89382,0.8876,1.20753,0.98781,1,0.995,0.8122,0.80728,0.76407,1.01636,0.00068075,0.00068075,0.00068075
25,109.365,0.97499,0.80396,1.20354,0.98613,1,0.995,0.80807,0.77581,0.74149,1.00984,0.000656,0.000656,0.000656
26,114.175,0.89208,0.80155,1.16544,0.98596,1,0.995,0.80286,0.80729,0.73177,1.01896,0.00063125,0.00063125,0.00063125
27,118.989,0.9245,0.83941,1.18726,0.9906,1,0.995,0.80583,0.74092,0.73447,1.01265,0.0006065,0.0006065,0.0006065
28,123.423,0.88679,0.78742,1.18474,0.99216,1,0.995,0.78287,0.79189,0.73548,1.05111,0.00058175,0.00058175,0.00058175
29,127.897,0.88577,0.77403,1.16987,0.99337,1,0.995,0.78578,0.82808,0.7416,1.07634,0.000557,0.000557,0.000557
30,132.327,0.87734,0.7887,1.21434,0.99469,1,0.995,0.78146,0.78047,0.68128,1.02702,0.00053225,0.00053225,0.00053225
31,136.82,0.87976,0.80213,1.17242,0.9954,1,0.995,0.80349,0.7753,0.64268,0.9969,0.0005075,0.0005075,0.0005075
32,141.193,0.80151,0.73558,1.12543,0.9957,1,0.995,0.80639,0.74483,0.63592,0.96676,0.00048275,0.00048275,0.00048275
33,145.605,0.83931,0.74752,1.13691,0.99614,1,0.995,0.80959,0.74626,0.64642,0.96311,0.000458,0.000458,0.000458
34,149.998,0.80804,0.7477,1.12738,0.99633,1,0.995,0.8199,0.73628,0.63752,0.95953,0.00043325,0.00043325,0.00043325
35,154.419,0.84178,0.7351,1.14172,0.99653,1,0.995,0.8215,0.75361,0.64183,0.95725,0.0004085,0.0004085,0.0004085
36,158.841,0.78439,0.7247,1.12508,0.99655,1,0.995,0.80102,0.80104,0.64707,0.98941,0.00038375,0.00038375,0.00038375
37,163.245,0.72667,0.65979,1.079,0.99654,1,0.995,0.78793,0.89272,0.65573,1.03805,0.000359,0.000359,0.000359
38,167.47,0.79569,0.7092,1.11657,0.99656,1,0.995,0.77575,0.915,0.66455,1.06509,0.00033425,0.00033425,0.00033425
39,171.769,0.79902,0.6935,1.13139,0.9965,1,0.995,0.8048,0.85635,0.67222,1.04548,0.0003095,0.0003095,0.0003095
40,176.315,0.79905,0.68959,1.15404,0.99648,1,0.995,0.8238,0.78194,0.68938,0.99983,0.00028475,0.00028475,0.00028475
41,180.965,0.64173,0.87713,1.0348,0.9963,1,0.995,0.80373,0.75807,0.66695,0.98418,0.00026,0.00026,0.00026
42,185.437,0.68312,0.85347,1.01552,0.99619,1,0.995,0.79764,0.75522,0.67172,0.98009,0.00023525,0.00023525,0.00023525
43,189.745,0.6716,0.77309,1.02805,0.99619,1,0.995,0.82267,0.74241,0.67496,0.97157,0.0002105,0.0002105,0.0002105
44,194.065,0.60276,0.76931,1.00194,0.99613,1,0.995,0.82347,0.75194,0.67458,0.96994,0.00018575,0.00018575,0.00018575
45,198.354,0.62277,0.74916,1.02106,0.99615,1,0.995,0.82987,0.78245,0.67743,0.97921,0.000161,0.000161,0.000161
46,202.734,0.57123,0.76345,0.97266,0.9961,1,0.995,0.81559,0.79034,0.66763,0.98084,0.00013625,0.00013625,0.00013625
47,208.339,0.58067,0.72525,0.9868,0.99595,1,0.995,0.80773,0.77277,0.65101,0.97697,0.0001115,0.0001115,0.0001115
48,213.71,0.56157,0.70769,0.95968,0.99569,1,0.995,0.83668,0.74378,0.65489,0.96575,8.675e-05,8.675e-05,8.675e-05
49,219.074,0.57767,0.7034,0.93854,0.99574,1,0.995,0.84005,0.72956,0.65349,0.96335,6.2e-05,6.2e-05,6.2e-05
50,224.558,0.55603,0.68484,0.95592,0.99561,1,0.995,0.84178,0.72257,0.65314,0.96243,3.725e-05,3.725e-05,3.725e-05
